natural_key,date,time,province,temp,cloud_description,min_temp,max_temp,humidity,vision,wind_spd,uv_index,atmosphere_quality
TUYENQUANG131020221000,13/10/2022,10:00,Tuyên Quang,null,Bầu trời quang đãng,17,31,0.44,10 km,0.08 ,null
TUYENQUANG131020221300,13/10/2022,13:00,Tuyên Quang,null,Bầu trời quang đãng,17,31,0.36,10 km,0.71 ,null
TUYENQUANG131020221600,13/10/2022,16:00,Tuyên Quang,null,Bầu trời quang đãng,17,31,0.45,10 km,0.89 ,null
TUYENQUANG131020221900,13/10/2022,19:00,Tuyên Quang,null,Mây thưa,17,31,0.68,10 km,0.66 ,null
TUYENQUANG131020222200,13/10/2022,22:00,Tuyên Quang,null,Mây rải rác,17,31,0.71,10 km,0.82 ,null
THAINGUYEN121020222059,12/10/2022,20:59,Thái Nguyên,24,Mây rải rác Cảm giác như 24°.,18,31,0.62,10 km,1 ,0,Rất kém
THAINGUYEN121020222100,12/10/2022,21:00,Thái Nguyên,null,Mây rải rác,25,25,0.62,10 km,1 ,0
THAINGUYEN121020222200,12/10/2022,22:00,Thái Nguyên,null,Mây rải rác,24,24,0.63,10 km,0.59 ,0
THAINGUYEN121020222300,12/10/2022,23:00,Thái Nguyên,null,Mây rải rác,23,23,0.64,10 km,0.56 ,0
THAINGUYEN131020220100,13/10/2022,01:00,Thái Nguyên,null,Mây cụm,18,31,0.65,10 km,1.23 ,null
THAINGUYEN131020220400,13/10/2022,04:00,Thái Nguyên,null,Mây cụm,18,31,0.66,10 km,1.88 ,null
THAINGUYEN131020220700,13/10/2022,07:00,Thái Nguyên,null,Mây rải rác,18,31,0.65,10 km,1.77 ,null
THAINGUYEN131020221000,13/10/2022,10:00,Thái Nguyên,null,Bầu trời quang đãng,18,31,0.36,10 km,1.61 ,null
THAINGUYEN131020221300,13/10/2022,13:00,Thái Nguyên,null,Bầu trời quang đãng,18,31,0.3,10 km,0.92 ,null
THAINGUYEN131020221600,13/10/2022,16:00,Thái Nguyên,null,Bầu trời quang đãng,18,31,0.38,10 km,1.09 ,null
THAINGUYEN131020221900,13/10/2022,19:00,Thái Nguyên,null,Bầu trời quang đãng,18,31,0.55,10 km,1.42 ,null
THAINGUYEN131020222200,13/10/2022,22:00,Thái Nguyên,null,Bầu trời quang đãng,18,31,0.59,10 km,2.04 ,null
LANGSON121020222059,12/10/2022,20:59,Lạng Sơn,19,Mây rải rác Cảm giác như 18°.,16,27,0.59,10 km,1.28 ,0,Rất kém
LANGSON121020222100,12/10/2022,21:00,Lạng Sơn,null,Mây rải rác,19,18,0.59,10 km,1.29 ,0
LANGSON121020222200,12/10/2022,22:00,Lạng Sơn,null,Mây rải rác,19,18,0.59,10 km,1.21 ,0
LANGSON121020222300,12/10/2022,23:00,Lạng Sơn,null,Mây rải rác,18,18,0.6,10 km,1.46 ,0
LANGSON131020220100,13/10/2022,01:00,Lạng Sơn,null,Mây cụm,16,27,0.6,10 km,1.35 ,null
LANGSON131020220400,13/10/2022,04:00,Lạng Sơn,null,Mây rải rác,16,27,0.63,10 km,1.6 ,null
LANGSON131020220700,13/10/2022,07:00,Lạng Sơn,null,Mây rải rác,16,27,0.64,10 km,1.45 ,null
LANGSON131020221000,13/10/2022,10:00,Lạng Sơn,null,Bầu trời quang đãng,16,27,0.38,10 km,2.46 ,null
LANGSON131020221300,13/10/2022,13:00,Lạng Sơn,null,Bầu trời quang đãng,16,27,0.33,10 km,2.61 ,null
LANGSON131020221600,13/10/2022,16:00,Lạng Sơn,null,Bầu trời quang đãng,16,27,0.44,10 km,2.49 ,null
LANGSON131020221900,13/10/2022,19:00,Lạng Sơn,null,Bầu trời quang đãng,16,27,0.53,10 km,1.6 ,null
LANGSON131020222200,13/10/2022,22:00,Lạng Sơn,null,Bầu trời quang đãng,16,27,0.56,10 km,1.71 ,null
QUANGNINH121020222059,12/10/2022,20:59,Quảng Ninh,20,Mây thưa Cảm giác như 20°.,17,31,0.62,10 km,1.33 ,0,Rất kém
QUANGNINH121020222100,12/10/2022,21:00,Quảng Ninh,null,Mây thưa,20,20,0.62,10 km,1.33 ,0
QUANGNINH121020222200,12/10/2022,22:00,Quảng Ninh,null,Mây thưa,20,20,0.63,10 km,1.14 ,0
QUANGNINH121020222300,12/10/2022,23:00,Quảng Ninh,null,Mây thưa,20,20,0.64,10 km,1.29 ,0
QUANGNINH131020220100,13/10/2022,01:00,Quảng Ninh,null,Mây thưa,17,31,0.65,10 km,1.61 ,null
QUANGNINH131020220400,13/10/2022,04:00,Quảng Ninh,null,Mây cụm,17,31,0.66,10 km,1.85 ,null
QUANGNINH131020220700,13/10/2022,07:00,Quảng Ninh,null,Mây cụm,17,31,0.62,10 km,1.39 ,null
QUANGNINH131020221000,13/10/2022,10:00,Quảng Ninh,null,Bầu trời quang đãng,17,31,0.35,10 km,0.56 ,null
QUANGNINH131020221300,13/10/2022,13:00,Quảng Ninh,null,Bầu trời quang đãng,17,31,0.31,10 km,1.65 ,null
QUANGNINH131020221600,13/10/2022,16:00,Quảng Ninh,null,Bầu trời quang đãng,17,31,0.43,10 km,2.55 ,null
QUANGNINH131020221900,13/10/2022,19:00,Quảng Ninh,null,Bầu trời quang đãng,17,31,0.6,10 km,0.96 ,null
QUANGNINH131020222200,13/10/2022,22:00,Quảng Ninh,null,Bầu trời quang đãng,17,31,0.63,10 km,1.6 ,null
BACGIANG121020222059,12/10/2022,20:59,Bắc Giang,24,Mây thưa Cảm giác như 24°.,18,30,0.6,10 km,1.87 ,0,Rất kém
BACGIANG121020222100,12/10/2022,21:00,Bắc Giang,null,Mây thưa,25,25,0.6,10 km,1.87 ,0
BACGIANG121020222200,12/10/2022,22:00,Bắc Giang,null,Mây thưa,24,24,0.61,10 km,1 ,0
BACGIANG121020222300,12/10/2022,23:00,Bắc Giang,null,Mây thưa,23,23,0.61,10 km,1.23 ,0
BACGIANG131020220100,13/10/2022,01:00,Bắc Giang,null,Mây rải rác,18,30,0.62,10 km,1.99 ,null
BACGIANG131020220400,13/10/2022,04:00,Bắc Giang,null,Mây cụm,18,30,0.62,10 km,2.15 ,null
BACGIANG131020220700,13/10/2022,07:00,Bắc Giang,null,Mây cụm,18,30,0.62,10 km,2.1 ,null
BACGIANG131020221000,13/10/2022,10:00,Bắc Giang,null,Bầu trời quang đãng,18,30,0.39,10 km,3.14 ,null
BACGIANG131020221300,13/10/2022,13:00,Bắc Giang,null,Bầu trời quang đãng,18,30,0.33,10 km,3.2 ,null
BACGIANG131020221600,13/10/2022,16:00,Bắc Giang,null,Bầu trời quang đãng,18,30,0.38,10 km,2.88 ,null
BACGIANG131020221900,13/10/2022,19:00,Bắc Giang,null,Bầu trời quang đãng,18,30,0.49,10 km,3.1 ,null
BACGIANG131020222200,13/10/2022,22:00,Bắc Giang,null,Bầu trời quang đãng,18,30,0.57,10 km,0.95 ,null
PHUTHO121020222059,12/10/2022,20:59,Phú Thọ,22,Mây rải rác Cảm giác như 22°.,18,30,0.67,10 km,1.07 ,0,Rất kém
PHUTHO121020222100,12/10/2022,21:00,Phú Thọ,null,Mây rải rác,22,22,0.67,10 km,1.07 ,0
PHUTHO121020222200,12/10/2022,22:00,Phú Thọ,null,Mây rải rác,22,22,0.68,10 km,1.12 ,0
PHUTHO121020222300,12/10/2022,23:00,Phú Thọ,null,Mây rải rác,21,21,0.69,10 km,1.1 ,0
PHUTHO131020220100,13/10/2022,01:00,Phú Thọ,null,Mây rải rác,18,30,0.71,10 km,0.8 ,null
PHUTHO131020220400,13/10/2022,04:00,Phú Thọ,null,Mây cụm,18,30,0.74,10 km,0.71 ,null
PHUTHO131020220700,13/10/2022,07:00,Phú Thọ,null,Mây rải rác,18,30,0.75,10 km,1.19 ,null
